space_key,svg_present,svg_id,svg_tag,svg_data_name,building_label,floor_code,display_label,published_status,bookwhen_url,space_type,capacity,color_code,ada_note,legacy_notes,review_status
dd,yes,DD,rect,,Jupiter NEXT,L2,Vendor DD,Published,https://bookwhen.com/voidtattoofest/e/ev-s97d4-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
e,yes,E,rect,,Dream Tent,L1,Vendor E,Published,https://bookwhen.com/voidtattoofest/e/ev-sv81j-20260522000000,VND10TENT,1,Orange,ADA accessible under tent,,matched
ee,yes,EE,rect,,Jupiter NEXT,L2,Vendor EE,Published,https://bookwhen.com/voidtattoofest/e/ev-ssywk-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
f,yes,F,rect,,Dream Tent,L1,Vendor F,Published,https://bookwhen.com/voidtattoofest/e/ev-sg71n-20260522000000,VND10TENT,1,Orange,ADA accessible under tent,,matched
ff,yes,FF,rect,,Jupiter NEXT,L2,Vendor FF,Published,https://bookwhen.com/voidtattoofest/e/ev-sthmy-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
g,yes,G,rect,,Dream Tent,L1,Vendor G,Published,https://bookwhen.com/voidtattoofest/e/ev-s1zh4-20260522000000,VND10TENT,1,Orange,ADA accessible under tent,,matched
gg,yes,GG,rect,,Jupiter NEXT,L2,Vendor GG,Published,https://bookwhen.com/voidtattoofest/e/ev-sbw97-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
h,yes,H,rect,,Jupiter Original,L1,Vendor H,Published,https://bookwhen.com/voidtattoofest/e/ev-stb9b-20260522000000,VND10OUT,1,Orange,ADA accessible,,matched
hh,yes,HH,rect,,Jupiter NEXT,L2,Vendor HH,Published,https://bookwhen.com/voidtattoofest/e/ev-s91lq-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
i,yes,I,g,,Jupiter Original,L1,Vendor I,Published,https://bookwhen.com/voidtattoofest/e/ev-sy0w9-20260522000000,VND10OUT,1,Orange,ADA accessible,,matched
ii,yes,II,rect,,Jupiter NEXT,L2,Vendor II,Published,https://bookwhen.com/voidtattoofest/e/ev-scwfc-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
ij,yes,IJ,rect,,Jupiter Original,L1,Vendor IJ,Published,,VND10OUT,2,Orange,ADA accessible,"combined I + J vendor spot; split into halves in app logic if needed",combined_vendor_split_required
j,yes,J,g,,Jupiter Original,L1,Vendor J,Published,https://bookwhen.com/voidtattoofest/e/ev-sr086-20260522000000,VND10OUT,1,Orange,ADA accessible,,matched
jj,yes,JJ,rect,,Jupiter NEXT,L2,Vendor JJ,Published,,VND10IN,1,Orange,ADA accessible,,matched
k,yes,K,rect,,Jupiter Original,L1,Vendor K,Published,https://bookwhen.com/voidtattoofest/e/ev-sktik-20260522000000,VND10OUT,1,Orange,ADA accessible,,matched
kk,yes,KK,rect,,Jupiter NEXT,L2,Vendor KK,Published,,VND10IN,1,Orange,ADA accessible,,matched
l,yes,L,rect,,Jupiter Original,L1,Vendor L,Published,https://bookwhen.com/voidtattoofest/e/ev-s236t-20260522000000,VND10OUT,1,Orange,ADA accessible,,matched
ll,yes,LL,rect,,Jupiter NEXT,L2,Vendor LL,Published,,VND10IN,1,Orange,ADA accessible,,matched
m,yes,M,rect,,Jupiter Original,L1,Vendor M,Unpublished,https://bookwhen.com/voidtattoofest/e/ev-std51-20260522000000,VND10OUT,1,Orange,ADA accessible,slope,matched
